cc_num,amt,is_fraud,Prob
4355790796238264643,1204.44,1,0.9999735171816989
4844243189971,1145.9,1,0.9999550007848562
6554245334757802,1132.52,1,0.9999371154287041
676245600876,1102.19,1,0.9999113094381693
639077309909,1080.21,1,0.9998916982424363
38534201672254,1078.83,1,0.9998899905827245
4134456652433447,1062.84,1,0.9998681272958934
374930071163758,1037.39,1,0.9998240249038921
630424987505,939.91,1,0.9997686759246281
377654590313960,992.69,1,0.9997079192261435
3554818239968984,987.16,1,0.9996890257650963
4254074738931278,983.88,1,0.9996772472386201
4952583804639909,938.73,1,0.9996743989894202
4562827002127,981.96,1,0.999670146622071
2719496466799416,987.33,1,0.9996273299245205
4992346398065154184,969.66,1,0.9996208033146395
3549202406645667,948.84,1,0.9995798902437761
30364087349027,940.05,1,0.9994696066404122
3597337756918966,893.23,1,0.9994547047995183
4260128500325,935.64,1,0.9993305526507689
3597337756918966,868.37,1,0.999277288643469
213175487106448,864.48,1,0.9992447251314853
4168696938629925,893.77,1,0.9992159052779556
30153452207526,921.48,1,0.9992140599037267
4587577161160601,830.58,1,0.9992014285182996
5388659976630693,887.65,1,0.9991596138994806
4228411452607671,895.02,1,0.9991165707813129
6011438889172900,850.47,1,0.9991148158696436
4681601008538160,849.22,1,0.9991021927351188
3567527758368741,893.53,1,0.9990560591059497
3562264947797243,880.77,1,0.9989618232569347
3535211949888417,813.03,1,0.9986473531392187
4124536010991657,811.41,1,0.9986223135163756
6011382886333463,850.66,1,0.9985400125948091
4640395708703,855.4,1,0.9983389376079019
377993105397617,837.87,1,0.9983125614757713
4482427013979020,825.71,1,0.9979656984963191
2229824890647120,808.11,1,0.9979317705271237
3595111028444131,794.94,1,0.9975994928988928
4629125581019,759.35,1,0.9975167977941383
60427851591,727.32,1,0.9970279883336336
2610529083834453,785.5,1,0.9967944775322272
30408301059761,713.56,1,0.9965279442064969
349813394357327,729.44,1,0.996517802777276
4538566639857,713.0,1,0.9965059064903338
3544606805704278,776.09,1,0.9964348580480427
4988304376504,748.92,1,0.9959617676814917
371009169330125,629.78,1,0.9910724110231781
3546674063249004,672.46,1,0.9904442087117318
4210078554961359092,615.49,1,0.9903426707884057
3566373869538620,671.44,1,0.9903341321722702
6011681934117244,573.51,1,0.9845468547790762
6011679934075347,492.51,1,0.9621667419801697
180068353086472,365.86,1,0.8817799759091921
213114122496591,339.45,1,0.869089677891797
30143713661454,326.21,1,0.8510449068343343
3560246577314524,340.92,1,0.8489805823813398
3554818239968984,324.74,1,0.8489197253976111
4294040533480516,335.35,1,0.8407040364895245
342035762534413,334.28,1,0.8390726470431921
4783226709001,331.74,1,0.8351459537937248
6526777409109795,313.68,1,0.8321240429786099
4500002361389,312.89,1,0.8308690908422006
4659625317833446364,312.88,1,0.8308531575904478
2248348993063230,316.57,1,0.810083077412832
